白葱 1/2~1本
生クリーム 200ccぐらい...
豚こま肉 200g
水 カップ　１・1/4～１・1/2 杯
ごま油 大１
サラダ 4枚
砂糖 小１
しらす 1パック
キャベツのみじん切り（細か目のみじんぎり） ウインナにはさみたいだけ
卵 ４個　（２５０ｇ）
ゆで卵 1つ
アボカド 1個
鶏むね肉(豚三枚肉でも) 150グラムほど
ｷｬﾍﾞﾂ 1/4個
玉ねぎ 1個
ニンジン 小さめの半分　
ビーフン(味つき) 70ｇ×2袋
きゅうり（輪切り） 1本
こまちだんご（市販） 1袋（10個）
玉ねぎ 半分(５０グラム）
きのこ 200g
ピザ用チーズ ２５０グラム
ツナ缶 一缶
醤油(下味用) 小匙１／４
全卵 １個分
◎　水 150ＣＣ　
調整豆乳 80ml
生クリーム ２００ｃｃ
蕨（下ごしらえ済み） 300 G
人参皮 適量
砂糖 大さじ1
玉ねぎ 大２個(みじん切り)
豆乳 １５０ｍｌ
牛乳 300ｇ
しめじ・えのき 30ｇずつ
人参 1本
とりもも ２枚
砂糖 ８０ｇ
薄力粉 150g
水 180cc
乾燥平湯葉 ４枚
●お酢 小さじ1
砂糖 小さじ１と１/２
水 １００ｃｃ
牛肉 ３００ｇ
寿司酢 大さじ３強
カニカマ 1本
砂糖 ６０～７０ｇ
ベーコン（ソーセージでも） 好きなだけ
豆乳シチューの具 お好みで
新玉ねぎ 1/4個
春キャベツ ３枚
バター 17グラム
砂糖 170g
切り干し大根 ５ｇ
卵 2個
チーズ たっぷり
ホタテ １パック
酢 大さじ１
しらす 大３
卵黄 ２個
クリームチーズ 150グラム
●挽き肉（お好きなの、今回は豚挽き肉） ５０g
ブロッコリー 1株
米 ３合
▼青汁粉末 １袋
しょうが １片
クリームチーズ 100グラム
小麦胚芽 30g
生姜 半かけ
豚ロース薄切り肉 4枚
お好きな果物酢 大さじ２
かまぼこ 1本
キャベツ １/8個
タバスコ 3滴くらい
豆水煮 1袋
玉ねぎ 大玉2･3個
砂糖 ６０ｇ
イースト 5グラム
キッコーマン特選丸大豆醤油 大2
酢 大匙１
セリ 一束
木綿豆腐 300ｇ
中力粉（再現にこだわらなければ、強力、薄力粉半量ずつでも可） 126ｇ
コーン 大匙１
長芋 １／２本
若布 好みの量で
卵 ３個
コンソメ 小さじ1/3
明太子 1/2～2/3房
じゃがいも 550～600ｇ
塩(パスタ茹で用) 適量
生おから 200g
にんじん 30g
キャベツ 120~150g
ハム 1枚
（マリネ用）レモン水 小さじ１
強力粉（リスドオル） 200ｇ
エリンギ 大きめ１本
しょうゆ 大さじ１
●強力粉 25ｇ
塩 少々
カニカマ ２本
とろけるチーズ 1/2枚
塩（きゅうりを洗うときの） 少量
プチトマト 6～8個
新玉ねぎ 1/4個
塩・こしょう 適量
塩・胡椒 適量
塩 小さじ1
昆布（20cm） 4枚
コンビーフ １缶
片栗粉 適量
玉ねぎ 半分(薄切り)
御飯 ４杯分
桃ラー 小さじ　1杯
胡麻 適当(多い方がんまいね♪)
卵 2個
グラニュー糖 適量
明太子 適量
いよかん（オレンジでも夏みかんでも） １個
豆腐 １丁
ネギ 1～1.5本
生クリーム 100ｃｃ
水 150cc
シーフードミックス 50g
マグロたたき 90ｇ
あんこ 適量
油揚げ １枚
〇ツナ 大さじ2
マヨネーズ 適量
ＢＰ 小1/2
フランスパン用粉 125ｇ
生クリーム １パック（２００ｍｌ）
片栗粉 適量
料理酒 大さじ3
●塩 二振り
シーフードミックス 50g
じゃがいも ３～４個
薄力粉 30ｇ
ぶどう（種なし） 1カップくらい
ごま 好きなだけ
クリームチーズ 1cmくらい
塩 適宜
ウィンナー ２本
塩・コショウ 少々
ハンバーグ 1個
塩 適量
タマゴ 2個
塩（ゆで用） 大さじ２
水菜 １束
　砂糖 ６０グラム
マヨネーズ 適量
砂糖 80グラム
サラダオイル 50cc
バター(orマーガリン) 好きなだけ
砂糖 25グラム
バター 10g
薄力粉 40g
キュウリ １本
●豆腐 1/2丁
乾燥パセリ又は生パセリみじん切り 大さじ2
薄力粉 90g
卵サラダ 大さじ1
いりこ 25g
卵 ２個
ビーフステーキ １００ｇ
ツナ缶 1缶
マヨネーズ お好みで♡
☆板チョコレート 1枚
ハム ２枚
パン粉    肉の20％　　 200g
ツナ缶 一個
ベーコン 1枚
キャベツ お好み
ポテトサラダ 大さじ1
砂糖 お好みの量
ゆで大豆 １カップ
白ネギ 1本
ほうれん草 2分の1束
ブロッコリー １株
玉ねぎ 2個
トマト １個
卵黄 １個
卵 2個
玉ねぎ 1/2個
オリーブオイルやバターなど、好みのオイル。 大さじ3
ニンジン 1/2本
キャベツ 1/2～1/3個
ごぼう １～２本
●無塩バター ６０ｇ
もやし 1袋
マヨネーズ 大さじ４
ペンネ 120ｇ
クリームチーズ ５０g
ご飯 ７０ｇ
タラの芽の葉の部分 ２～３葉
木の芽 小さな葉っぱをひとつかみ
水（だんご粉と混ぜる分） ５０cc
マヨネーズ 大匙３くらい
塩 小１
砂糖 20g
にんじん 2/3本
生クリーム １００cc
オリーブオイル 大さじ1～2
グラニュー糖 30ｇ
ニンベンのめんゆつ ７０ｃｃ
たけのこ（小） 1本
★強力粉 85ｇ
オリーブオイル 大３
かいわれ大根 １／２個
豚バラ肉 200g
キャベツ 1/4個
コンソメ 1個
新玉葱 4分の1個
ピーマン 1個
オリーブオイル 大1/2
ミニトマト 約１０個
生姜スライス ８枚くらい
卵‥（とく） １個
俵型おにぎり 写真で２合分
玉ねぎ 1/2個
☆生クリーム 100ｃｃ
カットトマト缶 1缶
Aバター ８０ｇ
にんじん １本
人参 １／３
甘栗 のせたいだけ
コーンスターチ ４０ｇ
砂糖 75g
カブ 中1コ
Ａ．にんにくチューブ ３ｃｍ
好きなおにぎりの具 適量
アボカド 1個
砂糖 70g
◇ちりめんじゃこ 大さじ２
粉寒天 5g
ベーコン １枚
薄力粉 120g
特選醤油 大匙2
水 炊飯器の目盛３合分
玉ネギ （小さめなら）2分の1個
米粉(上新粉) 15g
玉ねぎ 1/6個
○とんかつソース 大３～
生クリーム 200ｍｍ
塩 ４
ニンニク １片
冷凍ラズベリー １０個くらい
★卵 2個
卵 1個
砂糖 20g
海苔 適量
水 500cc　
おくら 3本
砂糖 大さじ１
クリームチーズ ５０ｇ
板ﾁｮｺ 1枚
塩コショウ 少々
ニンニク ひとかけ
砂糖 ４０ｇ
お湯 100cc
トマト缶 １缶
豆腐（3個セットで売られている物） 1個
うど １本
コーン 大さじ３
塩 適量
スキムミルク 大さじ3
水菜 1把
パン粉 20ｇ
きび砂糖 大さじ2
鯛（折り詰めの焼いてあるモノ） １，２尾
水 大さじ２
牛ひき肉 100g
合挽肉 80g位
フルーツ お好きなだけ
牛肉細切れ 180g
☆玉ねぎ(小) １個
焼きそば麺 １/２袋
砂糖 20g
にんじん 1/2本
甜麺醤 大さじ1
しょうが(千切り) 2片
牛乳 大さじ2
●卵 １個
納豆 １パック
バター 30ｇ
にんにく 1-2片
マカロニ １００g
白すりごま 大さじ２
小麦粉 １００ｇ
チューブでクッキング（バター＆オリーブオイル） 30g
お砂糖 ３０グラム
玉ねぎ 1/2個
焼き海苔 ２枚
○砂糖 50g
★白だし  大さじ3と1/2
スモークサーモン 60-70g
ほんだし 小さじ１
生姜 ２０ｇ
バナナ １本
☆コーン 大さじ３
人参 ４/1本
ヨーグルト スプーン(大)2杯
スパイス用漏斗 1個
水 小さじ1
バター １０ｇ
ご飯 １杯分
★ホットケーキミックス(薄力粉でもＯＫ) 大４～５
もやし 1/2袋
●強力粉 150g
卵黄 2個
醤油 大さじ1
バナナ 小1本
★いちご 80〜100g
ベーグル ４～８個
ウインナー（斜め切り） 8本
〇砂糖 大さじ１と1/2
春雨 お好み
ポン酢 大さじ２
ツナ缶 １缶
＠醤油 大1/2
Ａ：しょう油(特選丸大豆しょうゆ） 大さじ２
玉ねぎ（薄切り 40g
大根 3cm/100g
葱 ２０グラム
トマト 2個
切干大根 20g
爪楊枝 １０本（ウインナーの数）
砂糖 １１０g
卵 Ｍ1
クレイジーソルト 適量
エビ 1パック
人参 ２００グラム
舞茸（またはエリンギなどのきのこ） １／２パック
ベーキングパウダー 大さじ1/2
砂糖 大1
カブ 1個/100g
にら １束
ゴマ油 小さじ2
卵 １個
塩胡椒 適量
にんじん １本
ザーサイ １瓶
にんじん 1本
ささがきごぼう 20g
たまご ３個
水菜 1/2袋
じゃがいも 4～5個
片栗粉 １０ｇ
にんじん 半分
＊にんにく 2ｶｹ
ツナ缶 1/2～１缶（お好みで）
バナナ ２本
牛すじ ３００グラム
うどん 1玉
しめじ １パック
玉葱 1/2個
マンゴー 小さめ1個
塩、コショウ 適量
梅肉 スプーン2杯くらい
セロリ １／２本
人参 1/3本
酢味噌 酢１：みりん１：醤油１＋砂糖少々
豚バラ肉 100グラムぐらい
卵 １個
豚ひき肉 200グラム
玉ねぎ 2分の1
玉ねぎ （中）１／４個
ご飯 お茶碗半分
ドライイースト（予備発酵不で顆粒状のもの） 3g
パンチェッタ（ベーコンでもＯＫ） １００ｇ～１２０ｇ位
ベーコン 2～3枚
なす １本
●クリームチーズ 100グラム
●卵 1個
マヨネーズ 10g
昆布（切り昆布でも） ４０ｇ
みかん 1個
じゃがいも 中2個
キューピー味わいすっきりドレッシングうまみ塩 大さじ2
豆乳の粉(or豆乳) ちょろっと
合びき肉 １００ｇ
玉ねぎ 小１個
マヨネーズ 好きなだけ
ニンニク（チューブ可） 1片（1~2cm）
しめじ(好きな茸でok) 好きなだけ
グラニュー糖 70～80ｇ
山椒の芽 お好み
まいたけ 半パック
★白みそ、酢、砂糖 各大さじ１
いかのくんせい ３０ｇ程度
塩こんぶ ８ｇ
タマネギ 中１個
おから 100g
スナップえんどう １個
しめじ １パック
紹興酒 100cc
白菜 5枚
砂糖 大さじ３
豚ひき肉 ２００ｇ
豚ひき肉 200グラム
ちりめんじゃこ ３５ｇ(小パック)
小麦粉 適量
しょうが 半カケ
ルッコラ ２袋
人参 ５ｃｍ程
ハム 2枚
鶏ミンチ 100ｇ
砂糖 ７０g
☆醤油 大さじ２
にんにく 2片
塩 適用
生クリーム 200cc
白いこんにゃく １０ｇ
●水 600g
塩鮭 １匹
きゅうり １本
ジャガイモ １個
いかなごの釘煮 適当
砂糖　　 　Ａ ２０ｇ
とろけるチーズ １枚
人参 3/1本
お茶殻 2つかみ
小麦粉(片栗粉でもOK) 適量
☆オートミール 50g
水 300cc
玉ねぎ 大１
焙じ茶 150cc
じゃがいも 小4~5個
玉ねぎ １/２個
塩+コショウ 少々
にんにく ３かけ
砂糖 1kg
ねぎ 10㎝ぐらい
ニンニク 僕はにんにく好きなので0.5個ぐらい
白だし 大さじ１
強力粉 ２０グラム
マヨネーズ 大さじ2
カニ缶 １缶
卵黄 6個分
余ったミートソース 適量
オニオンスープの素 １袋
油揚げ 小なら1枚 大なら2分の1枚
ﾌﾟﾚｰﾝヨーグルト 200g
☆わけぎ 1/2束
豚肉または鶏肉（なんでも） 30～50ｇくらい（好みで）
水 ２カップ
▼砂糖 60g
切干大根 50ｇ
はんぺん 大判１枚
人参 1/2本
砂糖 60g
葱 ２本ほど
豚バラ肉（しゃぶしゃぶ用） 100g
小麦粉 適宜
蓮根 200ｇ
◎バター 40グラム
たまねぎ 小１個
水 500ｃｃ
プレ－ンヨ－グルト　カップ1 あらびきコショ－　適量
○鶏挽肉 200ｇ
にんにく 1
削りかつお節 1袋(3g)
豚挽肉 100ｇ
マリービスケット 好きなだけ
豆乳 ４００ｃｃ
長ネギ 1/2本
ツナ缶 １缶
玉ねぎ（薄切り） １００ｇ
ピーマン 1個
ほうれん草 1/2束
★牛乳 120ｍｌ
片栗粉 適宜
水 大さじ１
ピーマン 2個
豚もも肉(バラでも) 100g
片栗粉 適量
たけのこ １００ｇ
卵黄 １個
にんにく 大きめひとかけら
乾燥わかめ ２０g
アワビ 1個
鶏ミンチ 200ｇ
ピザ用チーズ 100g
☆たまねぎ（みじん切り） １／２個
人参 1本
ねりごま 40g
長ネギ １本
ウェイパー 大匙１
ゴマ油 大さじ1
○強力粉 200g
米ぬか カップ１杯位
ハム 2枚
合い挽き肉 ５０g
卵 ２個
スパム １缶（２００ｇ）
豚ばら肉 100ｇ程度
めんつゆ 適量
レモン絞り汁 大さじ1
玉ねぎ（みじん切り） （中）１／４個分
糸寒天 ２ｇ
生野菜 適量
新たまねぎ １個
レタス 1〜2枚
エリンギ（中） １本
豚肉（薄切り） 100ｇ前後
かつおぶし ひとつまみ
小麦粉 適量
じゃがいも 2個
せり 1束（100ｇ）
めんつゆ 大4
味噌 大さじ３
ゆかり（刻んだ梅干しやシソでも） 小さじ1くらい
なっとう 2個
ドライイースト 大さじ1/2（５ｇ）
鯛の刺身 6切れ
タマネギ 中２こ
卵 3個
★ホットケーキミックス １袋（２００g）
卵 １個
▲鶏のひき肉 ２００ｇ
ごぼう 50g
薄口醤油 大2
厚揚げ 1/2枚
ドライイースト １ｇ
味付け海苔 １袋（小さい袋）
シナモン 適量
おからde明太風味ペースト(レシピID：1096326) 50gぐらい
白菜キムチ 適量
玉ねぎ 1/4個
しょうゆ 少々
赤だし（生味噌ずいなど） 四袋
お湯 100cc
水 200ｃｃ
玉ねぎ 1／4個
人参 半本
梅ぼし 2個
ウインナー 一本
エノキ（今回は茶エノキ使用） １株
薄力粉 40ｇ
上白糖 ２０ｇ
きな粉 大さじ１
バター 30ｇ
ほうれん草 ２束
おからde明太風味ペースト(レシピID :1096326) 大2
●明太子 ２腹
卵 残り分
新たまねぎ １５０ｇ
☆ベーキングパウダー 小さじ2
バター・マーガリン・ジャム・蜂蜜など お好みで
(A)しょうが 1片
豚バラ 200g
絹ごし豆腐 一丁
バター ５g
白ワイン 大さじ１
お好みの味噌 適量
にんじん １/２本
いかなごの釜揚げ ひとつかみ
ドライイースト ５ｇ
薄力粉 　５０ｇ
砂糖 50g
卵 ２個
バジルの葉 1パック（15枚ぐらい）
アスパラ ６本
●水 150cc
米粉 150ｇ
ご飯 1.5膳分
豚肉（バラでも切り落としでもＯＫ） １００グラム
レタスの千切り たっぷり
水 500cc
トッポッキセット（トックとソース） １人前
アスパラガス １束（１００ｇ）
オリーブオイル 適量
ミョウガ ２個
砂糖 30g
新玉ねぎ １/２個
ネギ 1/2 把
たけのこ（下処理したもの）　あれば 少々
生クリーム（低脂肪） 100ｍｌ
玉ねぎ 小1個
玉子 １個
クリームチーズ 150g
春巻きの皮 5枚
苺ジャム 大さじ1
鶏ささみ 1/8～1/4本
水 170g～180g
玉ねぎ ５０ｇ
タマネギ 1/4個～半分
竹の子 １本
人参 1本
スペアリブ(豚） 500ｇ
鶏挽き肉 100g
卵 2個
さば水煮 1/2缶
ひき肉 70ｇ
玉ねぎ 約３個
無塩バター ３５ｇ
納豆 1パック
シーチキン缶 １缶
納豆 1パック
クリームチーズ ５０ｇ
おから( レシピID：688860 ) 適量
ホワイトソルガム粉 大匙１と1／２
めんつゆ 大さじ１
エリンギ 小1本
アスパラ １束
春雨 50~100g
＊水 ２カップ
とろけるチーズ ２枚
ハム 2枚
塩 大さじ1
水 大さじ1
塩・胡椒 少々
春菊 ３０ｇ
マーガリンorバター 小さじ１
タケノコ（水煮） 1パック
焙じ茶（ご飯用） 200cc
◆パプリカ（飾り用含め） 1/8個
清見オレンジ Ｓサイズ３個
牛乳 150cc
納豆 半パック
豚ミンチ １００ ～ １２０ ｇ
メープルシロップ 75g
卵白（Ｌ） ４個
だし汁 里芋がかぶる位
◆砂糖 20g
卵黄 ２個分
たまねぎ 1/2個
低脂肪乳 150g
ゆでたベビーホタテ １０個くらい
野菜スープ（牛乳） １００cc
ラップ 適当
グリーンレタス 適量
にんじん 1/2～1本
●豆腐 1個（3個1パックのうちの1個）
キャベツ 1/4
＊わかめ 適量
卵 1個
ﾎｯﾄｹｰｷﾐｯｸｽ 200g
大根 適量（にんじんと同じ位）
ヨーグルト 80〜100g
チーズ 適量
醤油(下味用) 小匙１／４
卵白 ３個
★コーンスターチor片栗粉 １５ｇ
黒砂糖 30ｇ～50ｇ
サラダオイル（オリ-ブオイルならベタ-） 120cc
ふき ２本
かぼちゃ 1/4カット
菜の花 1束
新たまねぎ １個
卵 適量
筍水煮 150ｸﾞﾗﾑ
☆目とリボン☆　のり １枚
しお ２つまみ
チャービル 小さじ１
アスパラガス 4本
