■水 500ml
玉ねぎ 1/6
　ゴマ油 大さじ１
揚げ油 適宜
酒 小さじ１
サラダオイル 大匙２
笹がきごぼう 一掴み
パスタ 200g
オリーブオイル 少々
★ゴマ油 小さじ1
生クリーム 300ｃｃ
水 小さじ1/2
にんにく（チューブのでもOK） ひとかけら
塩こしょう ひとつまみ
生クリーム(砂糖を１０％入れて泡立てたもの) 50ｇ
＊たまご １こ
(あればクレイジースパイス・粉末コンソメ) 適量
ミニトマト ４個
料理酒 大さじ１
水 ※作り方３参照
塩・こしょう 少々
粉チーズ 適量
市販の焼きそば １袋
しめじ・えのき・しいたけ等 好きなだけ
片栗粉 大さじ１
紅茶リキュール(なければラム酒etc.好みの洋酒) 適量
★塩　/ ブラックペッパー 各適量
牛乳 ２カップ
牛乳 １６６ｇ
ごま油 少々
カレー粉 大さじ2
パルメザンチーズ 大さじ１
★ゴマ油 少々
ほうれん草 １/２束
ポン酢醤油 大３
片栗粉 大さじ１
砂糖 10g
固形ブイヨン ２コ
ドライバジル 小さじ１／４
にんにく 小さじ2
Ａ　コーン 適量
★コンソメ 小さじ１程度
　干し海老 大さじ2～3
★みりん 大さじ2
しょうゆ 大さじ３
白ゴマ 大さじ１
片栗粉 適量
しょうが（千切り）※飾り用 適量
木の芽 みじん切り小さじ１
海苔 適量
クルミ ４０g
白ごま 少々
☆みりん 小さじ２
★醤油 大さじ2
生クリーム １５０ｃｃ
豆乳（または牛乳） 大さじ2～3
ごま油（仕上げ用） 小さじ１程度
みりん 40㏄
牛乳 140cc
舞茸 1パック
ズッキーニ 1/2本
　ブラウンシュガー 50g
オリーブオイル    大６
●ごま油 小さじ１
☆しょうゆ 大さじ２
胡椒 ０．５グラム
醤油 少々
胡椒 ０．５グラム
ベジフルオイル 適宜
バター 10g
■日本酒 小１
◎ウスターソース 大1～
生クリーム １００ｃｃ
ポン酢 適量
サラダ油 適宜
塩 少々
卵白 4個分
グリンピース 鞘からだして茹でたもの５０ｇ
☆コンソメ(顆粒) 小さじ1/2
牛乳 190ｃｃ
山椒の粉 適量
針生姜 適量
醤油・バター 少々
片栗粉 大さじ1
＊牛乳 ５０ｃｃ
（辛くする場合）豆板醤・唐辛子 お好みで
☆鶏がらスープの素、みりん 各大さじ１
・だしの素 半袋
●砂糖 小さじ２
バター ２５ｇ
にんにく醤油 大さじ1～1.5
ワイン（赤・安いので充分です） 200ｃｃ
水 200cc
付け合せ野菜 お好みで
○醤油 大さじ１
○ミツカン 「金のつぶ」シリーズの納豆 ２パック
卵 1個
★お酒 大さじ1
玉子 2個
☆クルミ １００ｇ
★塩 小さじ１
水 1と1/4カップ
生姜、ニンニクのすりおろし 各１かけ分
水 ５０ｇ
鰹削り 10g
塩 少々
☆水 ２００ｍｌ
★チョコチップ 50ｇ
〇いんげん 適量
水溶き片栗 少々
だしのもと 大さじ１くらい（調整してください）
水 大さじ１～２
**黒練りごま 小さじ1/4＋餡用小さじ1/2
固形ブイヨン 2個
今回は ウインナー 3本
■みりん 大さじ１
味醂 大さじ1
黒コショウ・塩コショウ 適量
バター ２０ｇ
小麦粉 ５０グラム
黒こしょう（なければこしょう） 適量
赤ワイン 200cc
お味噌 大さじ２～３
ﾊｨﾐｰ(味の素可) 一振り
焼きのり お好みで
○お好みの野菜ソテー 70ｇ
☆みりん 大さじ0.5
　　ｂ　水 75ＣＣ
サラダ油 適宜
金のつぶほね元気納豆 １パック
ショートニング 10グラム
Ｂ　有機豆乳 10ｇ
自家製バニラエキストラクト 10ｇ
大納言 80ｇ
☆青のり お好みで
牛乳 ５０ｃｃ
★ごま油 小さじ1/2
Ｂ：砂糖 小1
オリーブオイル 大１
◆コンソメ １個
ブラックペッパー ３ｇ
長ネギ １５cmくらい
ヨーグルト 大匙1
白ﾜｲﾝ 50ml
オリーブオイル 小さじ１/２
炒りゴマ 大さじ４程度
◆中濃ソース 大１
塩 ２ｇ
りんご 1個
★湯 １００cc
砂糖 大さじ２
薄力粉　(ふるう) ７０ｇ 
ピーマン 1個
水 200ｃｃくらい
水 400ml
白ゴマ たっぷり
みりん 30ｃｃ
レーズン（※②参照） 70ｇ
熱湯 適量
A 花椒(あれば) 小さじ1/2
砂糖 １０ｇ
☆無塩バター 40ｇ
●砂糖 大さじ1と2/1
塩 適量
塩 ひとつまみ
こしょう 少々
マヨネーズ 大さじ3
キウイ ２玉
醤油 小さじ１
A クミン（あれば） 小さじ１／２
薄力粉 20グラム
★昆布しょうゆ（普通のしょうゆ可） 大1
プーケガルニ　又は　ローリエ 1つ
卵 1個
★干しシイタケ戻し汁 150cc
★こしょう 少々
白胡麻orすり胡麻 適量
水 110cc
○ラー油 4プッシュ～
醤油 少々
粗引コショウ 適量
おろしにんにく 1/2片
Ａ醤油 大さじ１
山椒 お好みで
●卵黄 １個
合い挽き肉 300ｇ（2人前）
薄力粉 ８０ｇ
コチュジャン 好みで
だしの素 適量
【具】　牛または豚挽き肉 150g
粉砂糖 適宜
バター 少々
牛乳 ２００ｍｌ
●ガーリックパウダー 適量
（お好みで）ラム酒 大さじ1
ナンプラー 大さじ3杯
☆塩 ひとつまみ
醤油 100cc
☆砂糖 大さじ2
揚げ油 適量
ドライイースト ４ｇ
リンゴ 半分
☆いりこ出汁 1本
牛乳 大さじ1
大根おろしポン酢風味 好みで
水／白だし １００～１５０ｃｃ／大さじ１/２～１
水 食べるだけ
○水 大１
薄力粉 30ｇ
卵 1個
(あれば)ゆず皮かショウガ千切り 適量
牛乳 （状態を見て20-30cc）
片栗粉 適量
　　水 1ℓ
ごま油／すりごま 大さじ１／お好みで
しょうが １片
☆ごま油（挽肉炒め用） 適宜
赤ワイン 200cc
生姜、唐辛子 お好みで
大根 ５ｃｍ
ベーキングパウダー ２ｇ
酢 大２
レモン汁 小さじ2杯
和風だし お好みで
卵（Mサイズ） 1コ
おろし生姜 １かけ分
塩 適量
塩こしょう 少々
十勝スライスチーズ 4切
ごま油 適量
黒胡椒 適量
キャベツ １０分の１個
キューピー具のソース　タルタルソース 適量
たけのこ（ゆでたもの） ５～７ｃｍ幅
●醤油 キッコーマン丸大豆醤油 少々
塩・こしょう 適量
酒 大さじ２
こしょう 少々
水 1L
サラダ油 少量
にんじん 1本
☆にんにく（すりおろし） 小さじ１/２
塩とこしょう 少々
▲ナンプラー 大１
ごま油 大さじ１
小麦粉 大さじ４
ごま 少々
サラダ油 適量
ａみりん 大１/２
砂糖 小１
バター 少々
酢 大匙1
ごま油  適量
塩・こしょう 少々
☆寿司酢 大さじ２
バター 20ｇ
■醤油 大さじ1
＊ミリン 大さじ2
ガラムマサラ(なくても) 適量
顆粒和風だし・塩・胡椒 少々
●味覇（ウェイパー） 大さじ1
胡椒 少々
しょうゆ 大匙２
みりん 大さじ１
ケチャップ 大さじ３
★味醂 小さじ2
☆砂糖 大さじ３
顆粒コンソメ 少々
片栗粉 大匙1
トマトの薄切り ２個分
お好み焼きソース 適宜
牛乳 50cc
★ガーリックパウダー 小匙1/4
無塩バター（溶かして使います） 50g
オイスターソース 大さじ１
タマネギ １/２個・100ｇ
Ａしょう油 小さじ１
◆酒 50cc
白だし 大さじ1/2～
○オリーブオイル 大さじ1〜1.5
バター 適宜
ガラムマサラ お好みで
おくら 2本
プチトマト １２個
ﾌﾞﾗｯｸﾍﾟｯﾊﾟｰ 適量
しいたけ 2枚
◎コンソメ 1個
お好みでラー油 適量
コショウ 少々
┌小麦粉 大さじ４
水 １００ｃｃ
A　塩・胡椒 少々
いちご(飾り用) 2個
★生姜(みじん切り） 小１
乾燥パセリ（なくてもいい） 小匙１
◎塩 小2/3
長ネギ（白い部分） 10cm
黒すりごま 大さじ1
水 120cc
砂糖 適量
薄力粉 　30ｇ
コンソメ １個
紹興酒 大さじ１
塩ｺｼｮｳ 適量
塩 1g
酒 大さじ1
│ツナ（缶） ４０ｇ
レンコン スライス４枚位
★サフラン（粉末） 少々
ケチャップ 適宜
オリーブオイル 少々
バニラエッセンス 少々
きのこ（えのきだけ、しめじ等） 適宜
ディル（あれば） 少々
○うすくちしょうゆ 70ｃｃ
酒 150ml
マヨネーズ 大匙２
砂糖 大さじ1/2
│砂糖 ひとつまみ
サラダ油 大さじ２～４
コンソメ  軽く大さじ1
☆ｶﾞﾗﾑﾏｻﾗ お好みで
パルミジャーノ 適量（どちらでも）
塩コショウ 適宜
みりん 大１
☆酒（なくても大丈夫） 大さじ1
かつおぶし お好みで
バター 30g
溶き卵 １／２個分
鶏がらスープの素 小さじ１
胡椒の実 10粒ほど
ショウガのすりおろし ひとかけ分
塩、こしょう、ごま油 適量
日清ベジフルーツオイル 適量
レモン汁 大さじ1
ピンクペッパー（あれば） 適量
卵 １個
溶かしマーガリンかバター ５０ｇ
粉チーズ 大さじ１
酒　　　　　　 大さじ2
出汁  カップ２
☆追い鰹つゆ　２倍タイプ 大さじ２
にんにく、生姜 各 大１かけ
小麦粉 少々
油 適量
レタス お好みで
砂糖 大さじ１/2
水 １カップ
イタリアンパセリ ふりかけ
ケチャップ 大さじ１
玉ねぎ（みじん切りにしておく） １/２玉
ごま油 大さじ１/２
塩・こしょう 適量
ドライイースト ３ｇ
大葉 3枚
塩、こしょう 適量
水 50㏄
サラダ油 少々
●らっきょ 小５～８個
水 加減を見て
薄力粉 80g
★みりん 大さじ１
おろしにんにく 小さじ１／２
パスタ ３００ｇ
☆しょうゆ 大３
水 700〜800cc
卵 １個
砂糖 大さじ２
★ごま油 小さじ１
粉チーズ 好みで
（お好みで）青ねぎ（小口切り） 適宜
▸水 大さじ２～３
★ ごま油 大さじ1
具のソース　野菜と胡麻の韓国風ピリ辛ソース お好きなだけたっぷりと
ごま 適量
大葉 ５枚くらい
ごま油（焼き用） 適量
シナモン 適量
ねぎ おこのみ
片栗粉 大1.5（同量の水でとく）
クリーム お好みで
　牛乳 ５００ミリリットル
胡椒 適宜
 鶏ガラ スープ ４～５カップ
牛乳 500ml
にんにく 1かけ
オイスターソース 小さじ１
○薄力粉 30ｇ
赤唐辛子 １/２～１本
サトイモ（冷凍でもなまでもいい） ８～１０個
●砂糖 大さじ１
塩コショウ 適量
★シロップ用水 90ｃｃ
白ゴマ 適量
オリーブオイル 少々
　・しょうゆ 大さじ1
＊醤油 200ml
○鶏を漬けた味噌 小１/２
酒 大さじ2
⑧レタス 一枚
牛乳 150ml
韓国海苔 小4枚（ちぎる）
◎片栗粉 大さじ1/2
サンバルソース 小さじ２～４
○ゼラチン用水 大さじ1
チョコチップ（板チョコ可） お好みで
ケチャップ 好きな量
卵 1個
あんこ お好みで
粉糖 適量
なす 2本
卵黄 2個分
＊ごま 小さじ１
粉砂糖(飾り用無くてもｏk) 少々
小麦粉 大さじ２
ミックス甘納豆 適量
スキムミルク 25g
バター（鉄板に引く油の代わり） 適量
■生クリーム＋ミルク １カップ(各々１00ml）
ごま油 少々
低脂肪乳 ２カップ
ウィンナー 1〜2本
ごはん １人分
★ごま油 大さじ１
Aみりん 小さじ0.5
塩 適量
水溶き片栗粉 適量
きな粉 大さじ2
卵 １個
●酒 大さじ1
酒 少々
○紹興酒又は酒 大さじ１
ハンバーグ 1個
★ゴマ油 小さじ１
粗挽き黒コショウ 適量
大根おろし 適量
牛乳 大さじ２
酒 40cc弱
★カルーアコーヒーリキュール 小１
砂糖 大さじ１
マヨネーズ 適量
バター 適量
胡椒 少々
チーズ ３０ｇ(お好みの量）
ベーコンスライス ２枚
卵黄 1個
塩、胡椒 適宜
砂糖 大さじ２
牛乳 500g
（A）ゆで野菜 合計100g
本つゆ（3倍希釈） 80ml
レモン汁（輪切り用・マッシュ用） 各大さじ1
･食パン 1枚
醤油 少々
味噌 40g
(ガーリックパウダー・クレイジーソルトがあれば) 少々
･黄パプリカ 半個
○料理酒 大さじ１
から揚げ粉 大さじ2
塩こしょう 少々
●マヨネーズ 大さじ3
バターまたはマーガリン 小さじ１
全卵 50g
だし汁 50cc
●ラー油 ５、６滴くらい（お好みで…）
ピーナッツバター（無糖） 1/3cup
酢 大さじ2
マヨネーズ 大３
●片栗粉or米粉orコーンスターチ 大さじ1
こしょう 少々
味の素 少々
焼き肉のたれ 大1
みりん 大2 
コンソメ 3つ
納豆添付タレ 2つ
◎塩胡椒 少々
本だし 小さじ2
下ゆで用のお湯 適宜
マヨネーズ 大さじ６
生姜チューブ（すりおろしでもＯＫ） 小さじ１／２
★レーズン 適当
☆酒 小さじ2
卵黄 １個
サラダ油 小さじ２
和風だし 小さじ2
酒 大さじ１
☆さとう 大さじ1
特選　丸大豆しょうゆ 大1
塩 小さじ１/４強
本だし 小さじ１/２
☆胡椒 少々
青シソ ２枚
水溶き片栗粉 適量
水 ８００ｃｃ
味噌 小さじ２
鷹の爪 盛りつけ時に使用するとgood!
●あらびきコショウ 少々
塩・コショウ 適宜
・塩 小さじ１
イチゴ １パック
バター 大2
ローリエ（あれば） １～２枚
●砂糖 大さじ1
◎しょうゆ 大1
■しょうゆ ↓あんかけ↓
＊酒 大さじ１
すりごま 10g
小麦粉 適量
★水 大２
しょうゆ、みりん 各大匙２
シブレット あれば適量
輪切りの鷹の爪 少々
★ブラックペッパー 少々
ブラックペッパー 少々
ごま油 大さじ1
胡椒 少々
○しょうゆ 120cc
★スイートチリソース 大さじ１/２
みょうがたけ 3本
●砂糖 小さじ１
☆ベーキングパウダー（ナシでもＯＫ） 小さじ1/2
片栗粉 大さじ２
みりん      大1
溶き卵 1～2個分
砂糖 大さじ９
バニラオイル 適量
☆卵 ４個
しめじ 適量
鶏がらスープの素 大さじ１
油 適量
刻みのり おこのみで
オリーブオイル 適量
塩 適量
オリーブオイル 少々
絹ごし豆腐 １５０ｇ
☆ウスターソース 大さじ２
醤油 少々
バター １０グラム
●みりん 大さじ１
パクチー 1株　お好みで増減
みりん 大さじ2
★粗挽き胡椒 適量
麦茶 １３０CC
ニンニク・醤油・ごま油・鶏がらスープの素・白いりごま 適量
黒コショウ お好みで
お湯 大さじ２～４
味噌 小さじ１
水 300ｃｃ
土生姜 少々
にんにく 1かけ
スライスアーモンド 適量
塩 小さじ1
しょうゆ ３/４カップ
★ケチャップ 大さじ3
塩 小さじ2/3
●砂糖 小さじ１
ピザ用チーズ 適当
レーズン 70ｇ
酒 大さじ２
サラダ油 大2
プロセスチーズ 2個
はちみつｏｒメープルシロップ 適量
白味噌 大さじ２
ピザ用チーズ 適量
◎バター 大さじ2
■薄力粉 40g
◎牛乳 100g
●無塩バター ４０グラム
レモン汁 おおさじ　１
塩　胡椒 少々
☆水 いつもの炊飯分
魚介類（お好みで） 適量
塩コショウ 少々
片栗粉 適量
しょうが 1片
胡椒 ０．５グラム
しめじ １パック
赤味噌 大2（適量）
●からし（チューブ） 2cm（省略可）
☆鶏ガラスープ ２カップ
★塩コショウ 適量（しっかりめに！）
･お酒 おおさじ1
塩 適量
牛乳 ３００ｃｃ
●しょうゆ 小さじ2
塩・こしょう 各　少々
♪ベーキングパウダー 小さじ1
八角 １輪
塩 小さじ1/8
