■酒 40ml
お酢 隠し味（数滴）
塩・コショウ 適量
粗挽きコショウ 大さじ１/２
にんじんｽﾃｨｯｸ(生) 2本
☆みりん 大1
●砂糖・片栗粉 各小さじ1
練乳 10g
ご飯 お好きなだけ
イチゴ（果物はお好みで） 適宜
片栗粉 適量
★お酢 小さじ1
すし酢 大さじ4
しょうゆ 小１
ドライイースト ４ｇ
ガラムマサラ 適宜
★オイスターソース 大さじ１
☆鶏ガラスープの素 大1/2
◎味噌 小さじ1
粉砂糖 15~25g
☆ガラムマサラ 小さじ1
水 １３０ｃｃ
★　みりん 大さじ１
熱湯 100ｃｃ
鶏がらスープの素 小さじ２
クリームシチューの素 5皿分
オリーブオイル 大さじ１
醤油 大2
●湯 大さじ１
しょうが １片
たかのつめ（とうがらし） １本
水 適量
◎わさびチューブ 適量
だし汁 ２・１/2カップ
ココナッツミルク １缶
○アーモンドプードル 8g
●片栗粉 大さじ1
クリームチーズ 50g
B酢 大さじ2
しょうが １片
★醤油 大匙２
★しょうがのみじんぎり 大さじ１
オリーブオイル 大さじ１
マヨネーズ・粉チーズ 各適量
B八角 1片
●たまねぎ 1/8個
■片栗粉 大さじ3
挽き肉 200gくらい
★ケチャップ 大さじ１
☆酒 大さじ1
黒コショウ 適量
★醤油 小さじ2
乾麺　うどん 4束
砂糖 きなこの１／３～半分ぐらい　お好みで
ゆで卵 ２コ
上新粉 ５０ｇ
おろししょうが 適量
ウスターソース 適量
油（できたら、ごま油とサラダ油を半々で） 適量
☆ケチャップ 大さじ1
B　菜種油（平田産業） 40ｇ
油 大さじ2
卵 １個
☆刻み海苔 お好みでトッピング
刻みのり 適量
塩 小さじ１弱
☆砂糖 大さじ2/3
※砂糖 大さじ１
サニーレタス(レタス) 2枚
砂糖 大1
七味とうがらし お好みで
にんじん 2本くらい
クルトンなど お好みで
◎マスタード 小匙2分の1
サラダ油 大さじ２杯
☆塩 小さじ1/2
黒こしょう 少々
オイスターソース 小さじ1
白ワイン 1/2カップ
酒 適量
●水 １カップ
★醤油 大さじ１
◇酒 大さじ2
長澤家の万能つゆもしくは醤油 適量
★酢 大さじ1と1／2
☆白だし 少々
塩コショウ 少々
顆粒だし 小さじ1
しゅうまいの皮 20〜30枚
塩、こしょう 適当
☆味噌 大さじ2
トマト水煮缶 1缶
蜂蜜 大さじ２
☆白だし 大さじ1
●あらびきガーリック 適量
塩 小さじ1/2
ソーセージ ３本　（斜めに切り目を入れる）
おろしにんにく 小さじ1
★ニンニク（摩り下ろしorチューブ） ほんの少々
バター 25ｇ
黒胡椒 少々
☆醤油 小２
●ガーリックパウダー（生のすりおろしでもOK） 少々
砂糖 大さじ１、５
塩こしょう 少々
◎酒 大さじ1
生姜のすりおろし 大1
小麦粉（焼く前に肉にかける） 少々
しょうゆ 大さじ1.5
☆水 カップ3
砂糖 中さじ1から2はい
砂糖 大さじ1
○牛乳 １００ｃｃ
★冷水 大３
サラダ油 適量
トマトケチャップ 大３
■トマトケチャップ 大さじ1
酒 大３
☆昆布(あれば) 10cm程度
グリーンピース（あれば） 大さじ３
A片栗粉 大2
ダシ醤油 大さじ１＋１．５
塩・胡椒 適量
ウスターソース 小さじ１
☆ごま油 小さじ1
牛乳 １００ｃｃ
サラダ油 適量
☆しょうゆ 小さじ1
○一味唐辛子 お好みで
●砂糖 大2
☆砂糖、蜂蜜 お好みで
■水 小さじ2
水溶き片栗粉 水大さじ２＋片栗粉大さじ１
鷹の爪 1本〜2本
●酒 大１
☆砂糖 ３０ｇ(リンゴの３０％)
◎塩胡椒 少々
チョコレート 50g
水 卵と合わせて１２０ｇ
ｵﾘｰﾌﾞｵｲﾙ 適宜
　・しょうゆ 大さじ1～1/2
※クリーム用　砂糖 大1と1/2
もやし １袋
牛乳 ２C
★塩 適量
しめじ 少々
さとう 小さじ１
★砂糖 大２
★胡椒 少々
〇だし汁 100cc
★すりおろし生姜 1片～2片
トマトペースト 適量
塩 適量
粉辛子 小１／４～
砂糖 お好みで
★エリンギ 1/4株
☆みりん 大さじ1
★人参 少々
青ネギ 少々
★砂糖 小さじ1
Ａ醤油 大さじ３
トマトケチャップ 50cc
※大人にはブラックペッパー（粗挽き） 適量
Ａ　豆板醤 ２～３滴くらい
薄口醤油 大さじ４
ﾏｶﾛﾆ 20g
鰹節 大さじ山盛り2
☆しょうゆ 大さじ３
半熟茹で玉子 お好みで
醤油 大さじ1
小麦粉 約80ｃｃ
★砂糖 小さじ2
A. 顆粒だしの素(ほんだし) 小2
♦牛乳 大さじ2
●ごま油 大さじ　１
アンチョビ 4切れ
山椒 お好みで・・・
◎塩 ふたつまみ
マヨネーズ 10g
　酢 小さじ1
鶏がらスープの素 小さじ１
お酒 大さじ２
☆こしょう 5粒くらい
チョレギドレッシング（市販のエバラを使っています） 100cc
　水 C1/2
水 １／２カップ
●酒 大さじ2
シナモン 小匙　１
柚子胡椒 適宜
バター 30～35g
コンソメキューブ １/２個
・塩 少々
米粉パン粉 適量
お醤油 大さじ１
チリパウダー 〃
ストロベリーリキュール(お好きな洋酒で代用OK)...A 50cc...25%
花椒 お好みで適宜
オイスターソース 大さじ２
○オイスターソース 大さじ4
砂糖 大さじ１
◆マヨネーズ 大匙１
砂糖 小さじ１／３
★レモン 30ml
片栗粉 大匙1
塩 小さじ　１
砂糖 35ｇ
塩・黒コショウ・オリーブオイル 適量
粗挽き黒コショウ 小さじ２
生クリーム 30ｇ
☆水 ３カップ
レモン汁 少々
醤油 大さじ2
粉末カツオだし ２g
☆パセリ 適量
水菜 １/２束
ベジタブルストックまたはコンソメをお湯で溶いたもの 1/2カップ
豆乳 ５０ｃｃ
☆水 50ml
ピーマン 2～3個
○ドライイースト 小さじ1/4
塩こしょう 少々
市販のカレールゥ（ジャワ中辛） 2かけ
冷凍グラタン １個
卵 1個
中華の素粉末 小1
○砂糖 大2
大葉 ５枚
ブルーベリー １５粒
卵 １個
　酒(海老を茹でる際の物、無くてもＯＫ) 適量
生クリーム 100ｍｌ
牛乳 大さじ2～5
にんにく　（みじんぎり） １かけ
　・木綿豆腐(しっかり水切り) 1/3丁
粉砂糖 適量
お酒か白ワイン 約50cc
飴（キャンディー） 1袋
卵 1個
りんごジャム 適量
赤みそ 100g
イチゴフリーズドライ粉末タイプ 小さじ1
★黒こしょう 小さじ1/2
片栗粉 小さじ１
板チョコ 適宜
抹茶 3g
白胡麻 適量
ドライフルーツ １００グラム
醤油 大さじ１
●お砂糖 ひとつまみ
◎味の素 小さじ2分の1
白こしょう 少々
かつをだし 小さじ２
みそ唐辛子 小さじ1
塩・ブラックペッパー 少々
◆砂糖 30g
黒ゴマ 少量
コーヒー用クリーム １個
すったゴマ 適量
ポン酢 適量
しいたけ ２枚
パセリ(彩り) 適量
ケチャップ 適量
出し汁(水＋だしの素でＯＫ) 50cc(水50cc+粉末だしの素小さじ1/2)
黒胡椒 お好みの量
アーモンドスライス 少々
リンゴジュース（又は水） 1/3カップ
玉ねぎ 1/2個
オイスターソース 小さじ2
ごま お好みで
米酢...A 60cc(大さじ4)
オイスターソース 小さじ１
○酒 大匙2
★オイスターソース 小さじ１
◎ニンニク（みじん切り） 小１/２
オリーブオイル 小匙２分の１
塩ｺｼｮｳ 少々
★中濃ソース 大さじ２
片栗粉 大　１
★キャンディーチーズ★ 1個
牛乳 200ml
レモンジュース １/２個分
●おろしにんにく 適量
サラダ油 少量
じゃが芋（または、かぼちゃ・さつま芋） 正味１２０～１６０ｇ
塩 小さじ１／２～
●醤油（あれば出し醤油） 大さじ１～１．５くらい
春巻きの皮 6枚
クリームチーズ（室温に戻す） １２０ｇ
○小麦粉・片栗粉（筍に付ける用同量づつ） 適量
コンソメ 小さじ1
ぽん酢＋ラー油 お好みで
水 適量
★水 50cc
みりん 大さじ２
ごま油 適量
◎和風だしの素 小さじ1
牛乳 ４０ｃｃ
☆片栗粉 大さじ１
パクチー 適量
オリーブオイル 大１
ごま油 適量
◎酒 大匙１
オリーブオイル 大さじ1
粉砂糖 適量
生クリーム １００ｃｃ
バター 小１個
◎BP（ブラックペッパー） 少々
しょうゆ 大さじ１～２
砂糖 大さじ２
卵 2個
紅生姜や刻み海苔 お好みで
サラダ油 大２
塩 少し
紫芋粉 ３ｇ
油（揚げ油） 適量
ごま油 小１　（５g)
（しょうが／千切りかみじん切り 少し
オリーブ油・岩塩 少々
唐辛子 お好みで
塩 少々
ごま油 小さじ１
●みりん  大2
いりこ（犬用） ５匹
ハム（ベーコン） 3枚
雪印　クリームチーズ 50ｇ
☆はちみつ 小さじ1/2
こんにゃく（細かいサイコロ切り） 半分
オリーブ油　ソース用 小匙1～2
塩 大さじ１
ｵﾘｰﾌﾞｵｲﾙ 大1.5
リンゴ 1玉
一味唐辛子 小さじ1/2〜1
　　　水 700cc
●オイスターオース ４～５まわし
ローリエ １枚
ビスケット（あればダイジェスティブ） １０枚
ご飯 丼２杯
（とりひき肉 ２００ｇ
パセリ お好みで
ｶﾚｰﾙｰ 2片
塩 適量
オリーブオイル 大さじ1
ごま油 大さじ1
白ワイン 少々
☆砂糖 大3
水溶き片栗粉 適量
塩コショウ 少々
＊グラニュー糖 大さじ２
鷹のつめ 1/2本
ウスターソース 大さじ1
オリーブオイル 大さじ５くらい
とろけるチーズ 好きなだけ
☆だし汁 150cc
砂糖（甜菜糖、三温糖） 大さじ1
かつお節 小袋１～２パック
塩胡椒 少々
生クリーム 60ｃｃ
☆塩 少々
ビスケット(６ｃｍ) １４枚(2枚一組)
醤油 小さじ1と1/2
●砂糖 大１
　三温糖（なければ白砂糖で） 大さじ１
酢 大さじ１
レモン汁 大1
☆マヨネーズ 大匙半分
○みりん 大匙２
★麺つゆ(３倍希釈のもの原液で) 小さじ２
本だし 少々
シーチキン缶 １缶
卵 １個
白ごま 適宜
サラダ油 少々
☆生姜のすりおろし 1片分
ごま油 少量
砂糖 ６０ｇ
すり胡麻 大匙１
削りかつお 小袋１袋
ねぎ 適量
卵 １個
にら １／２束
粉ゼラチン 10g
◎コンソメ   1個
クレイジーソルト 適量
ぬるま湯 １５０～１７０㏄
酢 少々
●片栗粉 適量
※酒 大さじ3
お湯 ３００ｃｃ
★砂糖 少々
ピーナッツ 10ｇ
塩・こしょう 少々
コーン（缶詰でOK） 大さじ４くらい
赤ワイン 1/2カップ
☆砂糖 大さじ１
キャベツ 1/8玉
○インスタントコーヒー 5g
青海苔粉 適量
コンソメ １個
★薄口醤油 小さじ1
カレールー ２かけ
★トウバンジャン 小さじ１
◇バター 40g
★水 大さじ3
●水 大さじ２
　黒胡椒 お好みで
だしの素 小さじ１/2
クリームチーズ ２００ｇ
◎生姜の絞り汁 小さじ1/2
牛乳 120ml前後
☆ごま油 小さじ1
サラダ油 適量
塩こしょう 適量
▼ポン酢、大根おろしなど 適量
水 100cc
オイスターソース 小1
ガーリックパウダー お好みで
木の芽 2枚
★トマトケチャップ 大さじ３
コーン 好きな分
長ネギ 1/2本
あおねぎ 好きなだけ
片栗粉 適量
干ししいたけ（スライス） ３～５ｇ
塩 小さじ1
コーン 1缶（小）
塩 適量
☆ターメリック 小さじ1
コンソメ 少々
みりん １５ｃｃ
きざみのり 適量
胡椒 ０．５グラム
★おろししょうが（チューブ） ５cmくらい
レモンゼスト（粗くすりおろしたレモンの皮） レモン2個分
★オレガノ 小さじ1
☆塩こしょう 適量
スグリ（レーズンでも） １／２カップ
パルメザンチーズ 適量
●しょうゆ 大さじ１
スープストック（コンソメ2個＋水でも） 1200cc
すし酢 大匙１
☆酒 大さじ１
のり 適量
サラダ油 大２
水 25cc
醤油 小匙1/2
酒 大さじ1
カレー粉 小さじ１
サラダ油 適量
ドライイースト ２．８ｇ
スナップエンドウ（塩茹でしたもの） ８本
ゼラチン＋ふやかす水 5g＋20cc
★鶏ガラスープのもと 小２
ドライトマト 5個（乾燥した状態で約１５ｇ）
トマト缶 1缶
◎砂糖 ２０ｇ～
塩 ほんのひとつまみ
サラダ油 適宜
小ねぎ 適量
砂糖 少々
ﾊﾞﾆﾗｴｯｾﾝｽ 10〜15滴
マヨネーズ 大さじ３～好みで
お酢（熟味酢使用） 大さじ１
●水（ココア液用） 小さじ１
輪切り鷹のつめ 適量
しょうゆ 小さじ１くらい
イタリアンハーブミックス 適量
片栗粉 大さじ5～6
レモン汁 少々
☆ケチャップ 大5
おろしニンニクチューブOK １ｃｍくらい
☆トマト缶詰 1缶
オリーブオイル 適量
味噌 大さじ１～１と１/２
ネギ 15ｇ
みりん 大さじ2
☆パスタ（早茹でタイプの1.4mmがベスト） 100ｇ
塩胡椒 少々
からし 適量
＊塩 小さじ１／３
みりん 大さじ１
塩こしょう 適量
ソース 小さじ２
●めんつゆ 大さじ３
ドライイースト 4ｇ
ウスターソース 大さじ１
固形スープの素 １個
木の芽 適宜
塩 適量
卵白 L1個
ごぼう １／３本
クミンパウダー　ナツメグ 各お好みで
オリーブオイル 少々
にんにく（すりおろし） 少々
●　パセリみじん切り 適量
●みりん 小さじ１/２
干ししいたけ（なければ不要） 2個
砂糖 小さじ１
★ミートボール★ 2個
生クリーム １００ｍｌ
塩コショー 適量
ドライイースト 小さじ１杯
■鷹の爪・ゴマ油 少々
水 大1ほど
胡桃などのナッツ 30g位
☆オイスターソース 小さじ２～３
砂糖 １００グラム
☆ごま油 小1
七味唐辛子 適量
ドライイースト ３ｇ（発酵なしで）
●くるみ 35ｇ
　ケチャップ 20g（約大さじ1）
牛乳 １７０ｇ
黒コショウ 少々
卵 １/２個
●小麦粉 大さじ２
●大葉 5枚
胡桃 50ｇ
★溶かしﾊﾞﾀｰ 大さじ3
シーズニング 小さじ１／２
●キルシュ 小さじ１
酢 おおさじ４
マヨネーズ 小さじ1
D　砂糖 15g　弱
バター 小さじ２
◆Ａみりん 大さじ２
オリーブオイル おおさじ３
ピーマン ３個
☆ごま油 小さじ２
★塩 少々
コンソメ 1個
★砂糖 小1
B　菜種油（平田産業） 15ｇ
片栗粉 小さじ２
塩コショウ 少々
☆生姜の摩り下ろし 小さじ１/３
バルサミコ酢 大匙2
酒 小匙1
塩 適宜
　玉ねぎのゆで汁 大さじ2
雪印クリームチーズ ２００ｇ
○　しめじ パック　1/2
塩こしょう 適量
オリーブオイル 大さじ1
ホワイトチョコ 240g.板で6枚分　（120g.板で3枚分）
◎しょうゆ 大さじ１
塩 少々
スープ ４０ml
マッシュルームスライス（水煮缶） 小２／１缶
ホワンミー総合調味料 小さじ1/2
オリーブオイル 大さじ１
（無調整）豆乳 400cc
トマトケチャップ 大さじ1
和風だし 小1
☆塩コショウ ぱらぱらっと
パスタ １００ｇ
●砂糖 大さじ３
あらびきガーリーック（市販） 大さじ２
