うどん(ゆで) 2玉
にんにく １カケ
☆辛子 チューブで３㎝くらい
醤油 お玉１杯入れました（様子を見て）
水 適量 50-60 mlぐらい
レモン汁 小1
豆腐（木綿でも絹でも） １丁
塩 少々
・バター 35ｇ
バニラエッセンス 少々
ナツメグ 少々
砂糖 適量
●にんじん 30ｇ
★しょう油 大さじ３
粉砂糖 適量
※砂糖 大さじ2
牛乳 ５g
にんにく 1かけら
塩 大さじ１
だし汁 ひたひたになる程度
小麦粉 ３０ｇ
醤油 小さじ１強
たまご 一個
山椒 お好みで
卵 １人1〜２個
寿司酢 大さじ２
●ローレル １枚
●サラダ油 大さじ１
薄力粉 50g
☆人参 1/2本
しいたけ ３枚
塩 少々
酢 70cc
トマトケチャップ 大さじ２
みりん 大さじ1
塩 適宜
にんにくしょうゆ 大１
下茹でしてほぐした魚や肉等(今回は冷凍しておいたマグロのテリーヌを細かく潰しました) 大さじ1
醤油 小さじ1/2
バター 少々
むつ・ギンダラ・銀むつ・金目などの切り身 4尾×２回分
ピーマン 小１個
④醤油 小さじ１
◎生姜チューブ ３センチ
酒 大さじ２
★苺 お好きな量（約２００グラム）
大葉 2枚
●砂糖 大さじ6
人参 50gくらい
小麦粉 適宜
●塩、こしょう (少々)
◎砂糖 小さじ２杯
顆粒のだし 小さじ1/2
みりん おおさじ２~３
塩漬けの桜の花 10ヶ
とろみ粉 適宜
みりん 大1
ケチャップ 小さじ1
○砂糖 ２０ｇ
白ワイン 大さじ２
※1　砂糖 大さじ1.5
☆水 150cc
アーモンドプードル 10g
◎ラー油 ５振り程度
●酒 (少々)
牛乳 小さじ２
砂糖 ６０ｇ
　ベーキングパウダー 小さじ1/4
焼きのり １枚
ご飯 適宜
キャベツ ５～６枚
ごま油 小さじ１
●みりん　　　 大さじ2
☆濃い口しょう油 100cc
ショウガ １片
醤油 大さじ2
オリーブオイル 大さじ１
醤油 大１半
味の素 少々
味の素（あれば） ひとつまみ
ツナ缶 １個
薄力粉（表面にまぶす用） 適量
ｼｮｰﾄｱｽﾊﾟﾗ 1房
生姜 1片
●白味噌 ３０ｇ
牛乳 ５０ｃｃ
市販の角煮 1袋
＊きび糖(砂糖） 大匙１～１．５
刻みパセリ 適量
レタス たべたいだけ（今回は６枚）
☆チューブしょうが ３ｃｍぐらい
酒 ５０ｃｃ
青菜 １把
ドライハーブ（オレガノ、バジルなど） 適量
砂糖 大２強
ｶﾞﾗｽｰﾌﾟの素 ひとつまみ
白ワイン 少々
みりん こさじ１
サラダ油 大さじ1
卵 ２個
ブラックペッパー 少々
ドライイースト 3g
ほうれん草(茹でたもの) 1株
◎水 350ml
塩コショウ 少々
＊しょうが(チューブ) 小さじ1/4ぐらい
☆豆乳or 牛乳 大さじ２
ﾄﾞﾗｲｲｰｽﾄ 6g
〇コーヒーリキュール 小匙１/２
ﾅﾂﾒｸﾞ 少々
海老(なくてもOK) 5〜6匹
キムチ 適量
みりん 大さじ3～5
サラダ油 大さじ2
チーズ 40g
鰹節 1パック
オリーブ油 大さじ１
白ゴマ(混ぜる用) 大さじ2
酒 大1～2
◎マヨネーズ 大さじ2（30g）
ショートニング 10g
水 １００ｃｃ
お好みで、抹茶、ココア、コーヒーなど。 適量
★醤油 大さじ2
板チョコ（我家はビタータイプ） 200g
◇ゴマ油 小さじ１
にんにくチューブ 少々
コンソメの素 １個
ねぎ 2本
★マヨネーズ 大さじ３
ショウガ 1片
強力粉 ２００ｇ
長ネギ（みじん切り） １/４本
卵＋牛乳 １７０ｇ
じゃがいも １個
トマト 1/4
バター ３０ｇ
にんにく（みじん切り） 1かけ
折りﾊﾟｲ生地 半量
にんにく（チューブタイプ） 小さじ１
薄力粉 大さじ1
水溶き小麦粉 適宜
★塩 小さじ1
○生姜のすりおろし 2cm角
ガラムマサラ 5振り程度
◎しょうが（チューブ）・塩 少々
ピーカン・ナッツ 35ｇ
白だし 大さじ２
☆生姜 にんにくと同量
スキムミルク 大さじ１
◎ポン酢 小さじ1
★　和風だしの素 大さじ１
パスタ 適量
小麦粉 大さじ1
塩コショウ 少々
みりん 大さじ３
冷凍コーン １００ｇ
塩コショウ 少々
豆板醤 小1/2
○ココアミルク 大さじ１
油 適量
▲砂糖 大さじ１
バルサミコ酢 少量
水 50ｃｃ
アボカド １個
塩 一つまみ
牛こま切れ肉 ２００ｇ
片栗粉 大１
コンソメ １キューブ
☆わさび（お子様には抜いても） 少々
ショウガ 適量
塩コショウ 少々
○薄力粉 40g
●味噌 小さじ1
酒 大さじ1/2
しょうゆベースのドレッシング お好みで
★牛乳 200cc
ショウガ 適量
ニラ ４～５本
★酒 大匙１
顆粒カツオだし 小1/2
米飯 ５００ｇ
★料理酒 大さじ１
醤油 小さじ1
えんどう豆(茹で） ４０ｇ
オリーブオイル 大匙1から2
たまねぎ（みじん切り） 4分の１個
じゃがいも（お好みで） 3個
☆砂糖 大さじ1.3
●白ごま・黒ごま 各大さじ１(好きなだけ)
○ブラックペッパー 適量
A長ネギ青 10cm
お好みで黒胡椒 適量
塩コショウ 少々
☆たまねぎ 中1/2個
☆ゴマ油 大さじ1/2
砂糖 小さじ半分
打ち粉 適当
☆酢 大さじ1
★ウェイユー 大さじ１/２
●醤油 大さじ2
松の実 大匙２（軽くフライパンで炒っておく）
めんつゆ（２倍希釈） 大さじ２くらい
★クレイジーソルト 適宜
蜂蜜かケーキシロップ 少々
☆みそ 大さじ1
一味唐辛子 お好みで
塩 ５ｇ
ウィンナー(挽き肉やベーコンでも可) 2本
しょう油 適宜
煎りゴマ 適宜
醤油 少量
たかのつめ 3本
牛乳（低脂肪乳） 80g
納豆 １パック
コショウ 適宜
ごま油 適量（数滴程度）
　○酢 小さじ２
おしょうゆ 適宜
片栗粉 ３g　（小１弱）
葱の青い部分 15㌢程
ラム酒 大さじ１
オリーブオイル 大さじ２
☆ニンニク 1片(スライス)
卵 １個
大葉 ３～４枚
◎しょうゆ 大さじ１
しょう油 大さじ2
タマネギ 小さめ1個
人参・れんこん・パプリカ・かぶetc 適量
しょうゆ 大１
和風だし 大さじ1/2
★酒 大１/２～１弱
B　発酵酒みりん 50ｇ
ぬるま湯 1/2カップ
薄力粉・水　（衣用に１：１で） 適量
ニラ 1/2束
塩 ひとつまみ
生クリーム 50cc
すだち 少々
パセリ 少々
酒 大さじ２
固形コンソメ １個
ラム酒 小1
玉子 ４～５個
☆砂糖 大さじ1
パセリ 少々
豆板醤 小さじ2
※醤油 大さじ２
塩 ひとつまみ
■片栗粉 小さじ1/2
片栗粉 少々
クリームチーズ 30gくらい
ﾊﾞﾆﾗｴｯｾﾝｽ 少量
Ａ酒・醤油・みりん 大さじ1
塩(ホウレン草塩茹で用) 適量
ジャガイモ 5～6個
＊醤油 小さじ2
コンソメ 大さじ１
みりん 大さじ2
◎明治チューブでクッキング 大さじ２
○オリーブ油 大匙１
※ しょう油 ２５cc
しょう油 大さじ１杯
牛乳 50cc
塩コショウ 少々
☆干しえび（みじん切り） 10g
小麦粉 適量
チキンコンソメ １個
青ねぎ、かいわれ、水菜などの青い野菜(彩りでお好みのものを) お好みで
☆がらスープの素 小さじに半分
サラダ油 適量
醤油 小さじ1/3
ネギ お好みで
コチュジャン 大さじ1.5
鷹の爪 1本
チーズ 適量
油 大さじ1
☆小麦粉 大さじ4
※塩 少々
●しょうがの薄切り １／２片
★ケチャップ 大さじ１
☆塩 少々
■砂糖 大さじ1
万能ねぎ 適量
★醤油 大さじ3
※わさび 小さじ１/４～１/２
☆砂糖 大さじ1
酒 大さじ１
砂糖 小さじ1強
☆しょう油 小さじ1/2
にんじん 1本
グリンピース 少々
ほうれん草 1/2束
重層 小さじ１杯半
◎みりん 大さじ１
☆みりん 大さじ1.5
（塩 少し
☆玉ねぎ 1/2個
味の素 小さじ３分の１
水 ひたひたになる位(50cc位)
オリーブオイル 大さじ2
粉チーズ お好みで
刻んだ鷹の爪 お好みで
　ドライイースト 　　４ｇ（各製品による）
コンソメ 小さじ１
焼肉のタレ 大さじ３～（適量）
○牛乳＋お水（自家製酵母の場合） 120ｇ
クリームチーズ 50ｇあれば
ニンニク 1片
卵 １個
砂糖 大２くらい
砂糖（グラニュー糖） 3ｇ
★酢 1/4ｶｯﾌﾟ
仕上げ塩こしょう 多め
椎茸 ２個
●雪印クリームチーズ １２０ｇ
水 ２カップ
マギーブイヨン ２個
カシューナッツ 100g
水 100cc
バター 大1
塩コショウ 少々
　　☆みりん 大２
みりん 大さじ２
塩 大さじ1.5
ポッキー（お好みで） 1～2本
☆砂糖、マヨネーズ 小2、大2　　卵に混ぜる
塩 少々
鶏ガラスープの素 一つまみ
オリーブオイル（サラダ油でＯＫ） 適宜
塩・コショウ 少々
☆にんにくのすりおろし 小さじ1
サラダ油 大さじ2
塩（塩揉み用） 少々
玉ねぎ 2分の1
しょうゆ 少々
バター 10ｇ
だしの素 大１／２
☆砂糖 大さじ１
玉ねぎ 1/4個
塩・こしょう 少々
ココナッツ ２５グラム
にんにく 1かけ
水 ２５０ｃｃ
☆水 ３００cc
卵 3個
チリパウダー（あると風味が良いです） 適量
デミソース １缶
しょうがの薄切り 2枚
酢 １cup
薄力粉 110g
☆砂糖 1/4ｶｯﾌﾟ
オイスターソース 適量
しょうゆ 少々
耐糖ドライイースト 3g(無ければ普通のイースト4g)
バター 小さじ２
ホットケーキミックス １００ｇ
焼きそばの粉末(添付されているもの) １袋
　椎茸 3枚
★おろししょうが 小さじ1/2
旨味調味料 少々
カニカマ １本
スモークサーモン １パック
納豆 １パック
■酒 大さじ1
★酢 大５
トマト缶 １缶
☆みりん 小さじ１
砂糖 小さじ１
鳥ガラスープの素 小さじ1
オリーブオイル 大さじ2
☆黒こしょう 少々
●砂糖 小匙１
薄口醤油(キッコー〇〇) 大さじ4
塩 一つまみ
☆水 100cc
塩 少々
○白味噌 大匙1
にんじん 1/2本
梅干（ミッキーおにぎりの具） 1粒
人参 5㎝くらい
卵 １個
◎醤油 小１/３
☆醤油 小１
■しょうゆ 大さじ1
☆酒 大さじ１
塩 少々
ねぎ お好きなだけ
●水 ６００cc
水 １２０ｍｌ
◎マヨネーズ 大匙２強
ごま油 大さじ1
☆薄力粉 120g
マヨネーズ 大さじ２
酒 大さじ１
スキムミルク １０ｇ
ちりめん 1つかみ
いりごま 大さじ1
サラダ油 小１
赤唐辛子(種は取る) 1～2本
※生地用　水 35cc（AC1/2）
卵 １個
○塩 適量
生クリーム １/４カップ
塩 大さじ１．５
きぬさや（トッピング用） ８個
揚げ油 適量
みりん 50ｃｃ
水 ６００ｃｃ
★トマト缶 １/４
グラハムクラッカー 60g
ぽんず １カップ
塩 少し
パスタ(巾着をとめるのに使います) ２本
粗目砂糖 大2
ドライイースト 小匙１
さとう（うちはきび砂糖） おおさじ１強
★水 大３
あらびきこしょう（なければ普通のでＯＫ） 少々
☆マヨネーズ 大さじ４
★醤油 小さじ２
鰹節 ３グラム～
こしょう 適量
味の素 2振り
白ごま 適量
砂糖 大さじ1
〇醤油 大2
●顆粒鶏がらスープ 小さじ2
ウインナー １袋（６本）
水 お米３合の炊飯に合わせた量
長葱 1/2〜１本
卵 適量
生姜みじん切り １０ｇ
♪みりん 100ｃｃ
塩コショウ 少々
ｼﾛｯﾌﾟ お好みで
生クリーム １００ｃｃ
◎ごま油 大さじ１弱
塩 適量
牛乳 180ｃｃ
バナナ １本
☆酒 大さじ2
人参 1/2本
★ナツメグ 少々
★乾燥ワカメ 1g（1つまみ）
炒りごま 少々
★ウィスターソース 大さじ1と1/2
水 大匙１／２
レタス １～２枚
Ａ　砂糖 大さじ２杯
生クリーム 100ｃｃ(50ｃｃ)
レモン汁 少々
魚肉ソーセージ ３枚
とろけるチーズ ２枚
だしの素 小さじ2/1
人参 1本
牛乳 大さじ5
料理酒 50ｃｃ
●お酒 小さじ２
♥卵黄 ３個
ミックスビーンズ（120ｇ） １缶
マーガリン 好きなだけ
塩 少々
イタリアンドレッシング 適量
ガーリックパウダー 少々
ごま油 少量（香る程度）
パン粉 適量
Ａ　みりん 少々
水溶き片栗粉 適量
水 400ml
豆乳 120ｇ
ｺｼｮｳ 少々
●醤油 小さじ1.5
●砂糖 大１
☆水 ２００ｃｃ
ラー油 大さじ1/2
ゴマ油 ☆小さじ１
砂糖 大さじ2
鷹の爪 1本
塩 小さじ1/2
豆板醤 小さじ1〜2
A. 塩 少々
お好みの野菜 お好きなだけどうぞ^^
卵 ２個
♦クリームチーズ（プレーン） 27g（6Pパック 1と1/2個）
こねぎ 大さじ　1
塩 好みで
ﾏﾖﾈｰｽﾞ 大匙３
塩 小さじ1/4
★みりん 大１
ロースハム １/２枚
チョコチップ 30ｸﾞﾗﾑ
◎マスタード 小さじ2
ドライイースト 3.5g
ミルクチョコレート 1枚
○すりおろしニンニク（お好みで） 小さじ1
乾燥バジル 少々
サラダ油 適量
　しょう油 大さじ1
オイスターソース 大さじ１
味塩 少々
味噌 大さじ３
☆うこん(ターメリック) 小さじ１
マヨネーズ 100ｇ～（好みで調節してください）
砂糖 大さじ1
ドライイースト 付属スプーン小1,5(5gぐらい)
　生姜 少々
★酢・醤油 大さじ2
しょうが 小さじ１／２
●薄力粉 80g
とろけるチーズ １枚
☆しょう油 大さじ1
醤油 大さじ1
ピザ用チーズ お好みで
ねぎ お好みで
鷹の爪（中の種はとっておきます） 一つ
酒 大１
◆お酒 小さじ1
塩 少々
板ゼラチン（４ｇ位） １枚
はちみつ 大さじ３
牛乳 １００ｃｃ
サラダ油 小さじ１
・プチトマト 2個
ｱﾚﾙｷﾞｰｺﾝｿﾒ 少々
塩コショウ 適量
ソース 適量
水 50cc
塩 小さじ２
木の芽 お好みで
塩コショー 少々
BP 3グラム...1.5%
お好みできな粉など 少々
●和辛子 小さじ１/２
みりん 大さじ2
黒砂糖（お好みで） 大さじ２
玄米酢 大さじ１
醤油 小さじ２
塩、こしょう 少々
鶏ガラ（顆粒） 大さじ1/2
みりん 大さじ２
塩・こしょう 適量
片栗粉 大さじ3
から揚げ粉 大さじ３
乾燥パセリ（あれば） 適量
本だし 適量
小麦粉 適量
黄色パプリカ 1/2個
アスパラ ３本
◎バター 小さじ2
海苔 ２〜３枚
胡椒 ０．５グラム
白ごま 大さじ２
★砂糖 小さじ1
ごま油  大匙1
キャラメルシロップ（市販のものでＯＫ） 大さじ　２
薄力粉 10ｇ
牛乳 100cc
黒胡椒 少々
海鮮醤（中華甘味噌） 大さじ４～５
砂糖 小さじ１
足りなければ市販の焼き鳥のタレや鰻のタレまたは自家製のタレ まぶせるだけ
酢 大さじ１
★塩 少々
バニラエッセンス 少々
◎純ココア 5ｇ
長ネギ ２分の１本（斜め薄切り）
味噌 適宜
白ワイン 大さじ１
黒粒胡椒（粗引きなど） 適量
長ネギ（みじん切り） 1本（1/2本でも）
醤油 ４０g　
●砂糖 大さじ１
☆オリーブオイル 大さじ2
●　出しの素 小さじ１/2
水 大さじ４
塩・こしょう 少々
小麦粉 大さじ３
☆中華スープの素 小さじ1
●水 １５０ｃｃ
ブラックペッパー 適量
アーモンドプードル 40g
